country,gender,age_group,year,unemployment_rate
Australia,Female,15+,2016,5.78
Australia,Female,15-24,2016,11.4
Australia,Female,25+,2016,4.6
Australia,Male,15+,2015,6.04
Australia,Male,15-24,2015,14.24
Australia,Male,25+,2015,4.46
Australia,Female,15+,2015,6.07
Australia,Female,15-24,2015,11.92
Australia,Female,25+,2015,4.82
Australia,Male,15+,2014,6.0
Australia,Male,15-24,2014,14.11
Australia,Male,25+,2014,4.44
Australia,Female,15+,2014,6.17
Australia,Female,15-24,2014,12.47
Australia,Female,25+,2014,4.8
Australia,Male,15+,2013,5.71
Australia,Male,15-24,2013,13.04
Australia,Male,25+,2013,4.29
Australia,Female,15+,2013,5.61
Australia,Female,15-24,2013,11.36
Australia,Female,25+,2013,4.34
Austria,Male,15+,2022,5.16
Austria,Male,15-24,2022,10.35
Austria,Male,25+,2022,4.5
Austria,Female,15+,2022,4.8
Austria,Female,15-24,2022,10.28
Austria,Female,25+,2022,4.12
Austria,Male,15+,2021,6.51
Austria,Male,15-24,2021,11.77
Austria,Male,25+,2021,5.83
Austria,Female,15+,2021,6.4
Austria,Female,15-24,2021,12.35
Austria,Female,25+,2021,5.68
Austria,Male,15+,2020,5.36
Austria,Male,15-24,2020,11.45
Austria,Male,25+,2020,4.59
Austria,Female,15+,2020,5.02
Austria,Female,15-24,2020,9.08
Austria,Female,25+,2020,4.5
Austria,Male,15+,2019,4.68
Austria,Male,15-24,2019,9.52
Austria,Male,25+,2019,4.06
Austria,Female,15+,2019,4.42
Austria,Female,15-24,2019,7.94
Austria,Female,25+,2019,3.98
Austria,Male,15+,2018,5.11
Austria,Male,15-24,2018,9.69
Austria,Male,25+,2018,4.51
Austria,Female,15+,2018,4.73
Austria,Female,15-24,2018,9.48
Austria,Female,25+,2018,4.09
Austria,Male,15+,2017,5.97
Austria,Male,15-24,2017,10.96
Austria,Male,25+,2017,5.3
Austria,Female,15+,2017,5.1
Austria,Female,15-24,2017,8.89
Austria,Female,25+,2017,4.58
Austria,Male,15+,2016,6.48
Austria,Male,15-24,2016,12.35
Austria,Male,25+,2016,5.63
Austria,Female,15+,2016,5.59
